,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,1 0 +1,,,0 1 -1,
mada NRG,0 1 -1,1 3 -2,1 0 +1,1 0 +1,1 1 +0
brawk NRG,0 2 -2,1 0 +1,,,
s0m NRG,,0 1 -1,,1 1 +0,
Ethan NRG,0 1 -1,1 1 +0,1 0 +1,1 1 +0,
