,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,,0 1 -1,,,
mada NRG,,0 1 -1,,,
brawk NRG,,,,,
s0m NRG,1 0 +1,,,,
Ethan NRG,,,,,
