,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,2 0 +2,1 2 -1,1 1 +0,1 1 +0,
mada NRG,0 3 -3,2 4 -2,2 0 +2,4 1 +3,2 2 +0
brawk NRG,1 2 -1,3 0 +3,,,2 1 +1
s0m NRG,1 0 +1,2 1 +1,,1 1 +0,
Ethan NRG,1 2 -1,4 2 +2,3 0 +3,4 1 +3,
