,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,2 3 -1,1 8 -7,3 2 +1,3 0 +3,2 3 -1
mada NRG,3 4 -1,3 3 +0,3 2 +1,6 3 +3,4 4 +0
brawk NRG,3 3 +0,4 3 +1,4 4 +0,4 1 +3,6 1 +5
s0m NRG,2 3 -1,4 4 +0,2 2 +0,5 2 +3,4 2 +2
Ethan NRG,5 7 -2,7 4 +3,6 1 +5,2 1 +1,3 3 +0
