,LuoK1ng TE,FengF TE,heybay TE,Kai TE,Biank TE
trent G2,1 0 +1,1 1 +0,0 1 -1,1 1 +0,0 1 -1
leaf G2,,,,,0 1 -1
valyn G2,,1 2 -1,2 0 +2,,0 1 -1
jawgemo G2,,1 1 +0,1 1 +0,0 1 -1,1 1 +0
JonahP G2,,,,,
