,LuoK1ng TE,FengF TE,heybay TE,Kai TE,Biank TE
trent G2,4 0 +4,2 0 +2,3 1 +2,2 1 +1,1 3 -2
leaf G2,5 1 +4,0 1 -1,4 0 +4,6 1 +5,1 1 +0
valyn G2,2 4 -2,1 1 +0,1 1 +0,3 0 +3,3 1 +2
jawgemo G2,2 4 -2,6 1 +5,1 1 +0,1 3 -2,3 0 +3
JonahP G2,,3 3 +0,3 1 +2,2 3 -1,4 1 +3
