,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,4 Round 3 Biank FengF Round 12 heybay FengF Round 14 FengF Biank Round 20 FengF LuoK1ng,,,,1 Round 21 Kai,,,,,53,2,0
jawgemo G2,,2 Round 17 LuoK1ng Kai Round 18 Biank FengF,,1 Round 6 FengF heybay Kai Biank,,,,,,,37,0,0
JonahP G2,,,,,,,,,,,41,3,0
leaf G2,,4 Round 2 heybay Kai Round 3 LuoK1ng Kai Round 8 LuoK1ng FengF Round 13 LuoK1ng Kai,2 Round 10 FengF LuoK1ng Biank Round 21 LuoK1ng FengF Biank,,,,,,,,83,2,0
trent G2,,7 Round 4 Kai Biank Round 8 heybay Biank Round 14 Kai heybay Round 16 FengF LuoK1ng Round 18 heybay Kai Round 19 Kai FengF Round 20 Biank heybay,2 Round 9 LuoK1ng Biank heybay Round 13 Biank FengF heybay,,,1 Round 12 LuoK1ng,,,,,94,3,2
Biank TE,,3 Round 2 jawgemo valyn Round 5 jawgemo trent Round 7 trent jawgemo,,,,1 Round 2 valyn,,,,,53,3,1
LuoK1ng TE,,3 Round 6 leaf jawgemo Round 12 leaf trent LuoK1ng Round 18 leaf jawgemo,,,,,,,,,55,1,0
heybay TE,,1 Round 19 jawgemo JonahP,1 Round 17 JonahP valyn jawgemo,,,,,,,,54,1,2
FengF TE,,1 Round 21 trent JonahP,,1 Round 15 jawgemo trent JonahP valyn,,,,,,,52,0,0
Kai TE,,4 Round 5 JonahP valyn Round 9 JonahP jawgemo Round 11 trent valyn Round 12 jawgemo JonahP,,,,,,,,,47,0,0
