,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL,Juicy WOL
Zellsis SEN,3 3 +0,1 3 -2,4 2 +2,4 2 +2,3 5 -2
johnqt SEN,4 3 +1,5 2 +3,0 4 -4,2 1 +1,5 4 +1
N4RRATE SEN,4 1 +3,4 5 -1,3 3 +0,3 1 +2,4 4 +0
zekken SEN,5 4 +1,5 3 +2,2 2 +0,3 2 +1,3 8 -5
bang SEN,3 2 +1,3 5 -2,4 6 -2,3 3 +0,4 1 +3
