,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL,Juicy WOL
Zellsis SEN,1 3 -2,2 3 -1,4 2 +2,1 2 -1,3 2 +1
johnqt SEN,3 2 +1,4 2 +2,4 2 +2,3 0 +3,3 4 -1
N4RRATE SEN,3 2 +1,5 5 +0,2 3 -1,5 0 +5,4 2 +2
zekken SEN,6 3 +3,2 3 -1,2 3 -1,3 1 +2,1 2 -1
bang SEN,2 2 +0,4 6 -2,2 1 +1,3 4 -1,5 3 +2
