,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL,Juicy WOL
Zellsis SEN,4 6 -2,3 6 -3,8 4 +4,5 4 +1,6 7 -1
johnqt SEN,7 5 +2,9 4 +5,4 6 -2,5 1 +4,8 8 +0
N4RRATE SEN,7 3 +4,9 10 -1,5 6 -1,8 1 +7,8 6 +2
zekken SEN,11 7 +4,7 6 +1,4 5 -1,6 3 +3,4 10 -6
bang SEN,5 4 +1,7 11 -4,6 7 -1,6 7 -1,9 4 +5
