,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL,Juicy WOL
Zellsis SEN,1 0 +1,0 4 -4,,2 0 +2,1 3 -2
johnqt SEN,,0 1 -1,1 0 +1,,0 3 -3
N4RRATE SEN,,0 1 -1,,,2 1 +1
zekken SEN,3 3 +0,2 3 -1,1 2 -1,,1 5 -4
bang SEN,,1 0 +1,1 0 +1,,2 1 +1
