,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL,Juicy WOL
Zellsis SEN,,0 2 -2,,,0 1 -1
johnqt SEN,,,1 0 +1,,0 2 -2
N4RRATE SEN,,0 1 -1,,,1 0 +1
zekken SEN,2 2 +0,0 2 -2,1 1 +0,,0 2 -2
bang SEN,,,,,2 1 +1
