,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL,Juicy WOL
Zellsis SEN,1 0 +1,0 2 -2,,2 0 +2,1 2 -1
johnqt SEN,,0 1 -1,,,0 1 -1
N4RRATE SEN,,,,,1 1 +0
zekken SEN,1 1 +0,2 1 +1,0 1 -1,,1 3 -2
bang SEN,,1 0 +1,1 0 +1,,
