,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
artzin MIBR,1 0 +1,3 0 +3,0 3 -3,2 2 +0,2 1 +1
cortezia MIBR,0 1 -1,1 0 +1,2 1 +1,4 3 +1,
xenom MIBR,,,,0 2 -2,
Verno MIBR,0 2 -2,1 1 +0,,1 3 -2,
aspas MIBR,2 0 +2,1 0 +1,2 0 +2,6 1 +5,1 2 -1
