,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
artzin MIBR,3 0 +3,3 3 +0,3 4 -1,2 5 -3,2 4 -2
cortezia MIBR,4 0 +4,4 2 +2,3 4 -1,3 5 -2,2 2 +0
xenom MIBR,2 1 +1,3 2 +1,4 3 +1,1 6 -5,2 4 -2
Verno MIBR,1 2 -1,1 4 -3,0 5 -5,2 4 -2,2 1 +1
aspas MIBR,4 3 +1,6 0 +6,2 2 +0,7 4 +3,4 2 +2
