,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
artzin MIBR,1 0 +1,2 0 +2,0 3 -3,1 0 +1,1 0 +1
cortezia MIBR,0 1 -1,1 0 +1,2 0 +2,3 1 +2,
xenom MIBR,,,,0 1 -1,
Verno MIBR,0 2 -2,1 1 +0,,0 2 -2,
aspas MIBR,,,1 0 +1,2 0 +2,0 2 -2
