,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
artzin MIBR,,1 0 +1,,1 2 -1,1 1 +0
cortezia MIBR,,,0 1 -1,1 2 -1,
xenom MIBR,,,,0 1 -1,
Verno MIBR,,,,1 1 +0,
aspas MIBR,2 0 +2,1 0 +1,1 0 +1,4 1 +3,1 0 +1
