,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
artzin MIBR,3 3 +0,6 3 +3,2 5 -3,5 4 +1,6 4 +2
cortezia MIBR,5 2 +3,2 3 -1,4 5 -1,8 4 +4,3 5 -2
xenom MIBR,4 4 +0,3 2 +1,6 4 +2,3 4 -1,0 4 -4
Verno MIBR,2 5 -3,5 6 -1,4 4 +0,1 3 -2,1 5 -4
aspas MIBR,5 3 +2,5 4 +1,5 2 +3,3 2 +1,5 8 -3
