,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
artzin MIBR,6 3 +3,9 6 +3,5 9 -4,7 9 -2,8 8 +0
cortezia MIBR,9 2 +7,6 5 +1,7 9 -2,11 9 +2,5 7 -2
xenom MIBR,6 5 +1,6 4 +2,10 7 +3,4 10 -6,2 8 -6
Verno MIBR,3 7 -4,6 10 -4,4 9 -5,3 7 -4,3 6 -3
aspas MIBR,9 6 +3,11 4 +7,7 4 +3,10 6 +4,9 10 -1
