,PROFEK BBL,Jamppi BBL,sociablEE BBL,LewN BBL,MAGNUM BBL
Click M8,4 3 +1,3 8 -5,4 12 -8,8 6 +2,8 2 +6
Zyppan M8,3 4 -1,0 7 -7,1 9 -8,3 10 -7,3 6 -3
kamyk M8,7 3 +4,7 5 +2,7 8 -1,5 7 -2,2 6 -4
Kada M8,7 10 -3,4 5 -1,6 7 -1,7 5 +2,11 4 +7
Minny M8,7 5 +2,5 6 -1,3 6 -3,6 7 -1,3 5 -2
