,PROFEK BBL,Jamppi BBL,sociablEE BBL,LewN BBL,MAGNUM BBL
Click M8,,,1 1 +0,3 2 +1,1 0 +1
Zyppan M8,1 3 -2,0 1 -1,0 1 -1,2 3 -1,0 1 -1
kamyk M8,,,,1 1 +0,0 1 -1
Kada M8,1 0 +1,,0 1 -1,2 2 +0,1 0 +1
Minny M8,1 2 -1,1 0 +1,,2 3 -1,0 2 -2
