,PROFEK BBL,Jamppi BBL,sociablEE BBL,LewN BBL,MAGNUM BBL
Click M8,1 2 -1,1 2 -1,1 7 -6,3 3 +0,3 0 +3
Zyppan M8,1 1 +0,0 2 -2,0 7 -7,1 3 -2,1 2 -1
kamyk M8,2 3 -1,0 1 -1,0 3 -3,2 4 -2,0 3 -3
Kada M8,3 4 -1,0 3 -3,2 3 -1,2 0 +2,2 3 -1
Minny M8,2 0 +2,3 3 +0,1 6 -5,3 1 +2,1 3 -2
