,PROFEK BBL,Jamppi BBL,sociablEE BBL,LewN BBL,MAGNUM BBL
Click M8,,,,1 1 +0,
Zyppan M8,0 1 -1,0 1 -1,0 1 -1,1 1 +0,0 1 -1
kamyk M8,,,,0 1 -1,
Kada M8,,,0 1 -1,1 0 +1,
Minny M8,,1 0 +1,,0 1 -1,0 2 -2
