,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zyppan M8,,1 Round 16 MAGNUM PROFEK,,,,,,,,,24,2,1
kamyk M8,,1 Round 7 PROFEK sociablEE,1 Round 15 Jamppi MAGNUM sociablEE,1 Round 10 LewN PROFEK Jamppi sociablEE,,,,,,,80,4,0
Click M8,,1 Round 11 sociablEE PROFEK,2 Round 18 Jamppi LewN MAGNUM Round 20 MAGNUM PROFEK sociablEE,,,1 Round 18 MAGNUM,,,,,53,1,0
Kada M8,,5 Round 1 MAGNUM sociablEE Round 2 Jamppi sociablEE Round 7 MAGNUM Jamppi Round 11 LewN Jamppi Round 23 LewN PROFEK,1 Round 12 Jamppi PROFEK sociablEE,1 Round 24 PROFEK sociablEE MAGNUM LewN,,,,,,,64,0,0
Minny M8,,3 Round 21 Jamppi LewN Round 22 PROFEK sociablEE Round 23 MAGNUM sociablEE,1 Round 5 LewN MAGNUM Jamppi,,,,,,,,51,1,0
MAGNUM BBL,,,2 Round 1 kamyk Click Zyppan Round 18 Kada kamyk Minny,,,,,,,,26,1,0
PROFEK BBL,,2 Round 4 Minny Kada Round 7 Kada Zyppan,,,,,,,,,37,1,0
sociablEE BBL,,3 Round 4 Click kamyk Round 14 kamyk Kada Round 26 Zyppan Kada,1 Round 24 Click kamyk Zyppan,,,,,,,,42,1,0
Jamppi BBL,,3 Round 2 kamyk Click Round 20 Zyppan Kada Round 26 Click kamyk,1 Round 13 Zyppan kamyk Click,1 Round 9 Minny Zyppan kamyk Kada,,1 Round 24 Kada,,,,,49,5,0
LewN BBL,,2 Round 6 Kada Minny Round 8 Zyppan Minny,1 Round 17 Click kamyk Zyppan,1 Round 16 Kada Minny Zyppan kamyk,1 Round 25 Kada Zyppan Click Minny kamyk,,1 Round 25 Minny kamyk,,,,60,1,1
