,PROFEK BBL,Jamppi BBL,sociablEE BBL,LewN BBL,MAGNUM BBL
Click M8,3 1 +2,2 6 -4,3 5 -2,5 3 +2,5 2 +3
Zyppan M8,2 3 -1,0 5 -5,1 2 -1,2 7 -5,2 4 -2
kamyk M8,5 0 +5,7 4 +3,7 5 +2,3 3 +0,2 3 -1
Kada M8,4 6 -2,4 2 +2,4 4 +0,5 5 +0,9 1 +8
Minny M8,5 5 +0,2 3 -1,2 0 +2,3 6 -3,2 2 +0
