Event,Map
"Champions Tour 2025: China Kickoff					

						Main Event: 
						Upper Quarterfinals",All Maps
"Champions Tour 2025: China Kickoff					

						Main Event: 
						Upper Quarterfinals","1
								
																					Pearl"
"Champions Tour 2025: China Kickoff					

						Main Event: 
						Upper Quarterfinals","2
								
																					Abyss"
"Champions Tour 2025: China Kickoff					

						Main Event: 
						Upper Quarterfinals","3
								
																					Bind"
