,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,2 4 -2,2 3 -1,3 1 +2,3 2 +1,3 6 -3
Boostio 100T,3 5 -2,2 2 +0,1 4 -3,1 3 -2,0 4 -4
zander 100T,4 2 +2,5 1 +4,4 3 +1,2 3 -1,4 6 -2
Asuna 100T,2 6 -4,3 1 +2,1 3 -2,5 0 +5,1 7 -6
eeiu 100T,3 4 -1,3 4 -1,2 0 +2,1 5 -4,6 4 +2
