,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,2 0 +2,1 0 +1,,2 0 +2,1 0 +1
Boostio 100T,,,,,
zander 100T,,,,,0 3 -3
Asuna 100T,,,,,0 1 -1
eeiu 100T,,,,,
