Round Number,Bank 100T,Winning Team,Losing Team,Bank NRG
1,0.8k,NRG (T),100T (CT),0.3k
2,8.7k,NRG (T),100T (CT),5.8k
3,0.6k,100T (CT),NRG (T),9.9k
4,7.0k,100T (CT),NRG (T),1.6k
5,11.4k,100T (CT),NRG (T),8.1k
6,18.9k,NRG (T),100T (CT),4.2k
7,4.1k,100T (CT),NRG (T),13.6k
8,11.7k,NRG (T),100T (CT),6.0k
9,8.0k,100T (CT),NRG (T),16.2k
10,5.2k,NRG (T),100T (CT),6.9k
11,9.8k,NRG (T),100T (CT),14.9k
12,0.4k,NRG (T),100T (CT),20.4k
13 (Swap),0.4k,NRG (CT),100T (T),0.2k
14,9.8k,NRG (CT),100T (T),8.3k
15,0.9k,100T (T),NRG (CT),11.0k
16,0.6k,100T (T),NRG (CT),2.5k
17,2.0k,NRG (CT),100T (T),9.6k
18,7.8k,NRG (CT),100T (T),9.5k
19,0.7k,100T (T),NRG (CT),12.8k
20,4.3k,NRG (CT),100T (T),2.9k
21,0.7k,100T (T),NRG (CT),9.6k
22,2.7k,NRG (CT),100T (T),13.3k
