,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,,,1 0 +1,,1 0 +1
Boostio 100T,1 0 +1,,0 1 -1,,0 2 -2
zander 100T,1 0 +1,1 0 +1,,,3 0 +3
Asuna 100T,0 1 -1,1 0 +1,0 1 -1,3 0 +3,1 1 +0
eeiu 100T,,,1 0 +1,,1 1 +0
