Round Number,Bank 100T,Winning Team,Losing Team,Bank NRG
1,0.5k,100T (CT),NRG (T),0.3k
2,2.0k,100T (CT),NRG (T),8.7k
3,12.3k,NRG (T),100T (CT),1.1k
4,1.9k,NRG (T),100T (CT),11.3k
5,3.4k,NRG (T),100T (CT),24.2k
6,9.5k,NRG (T),100T (CT),28.7k
7,2.8k,100T (CT),NRG (T),36.5k
8,8.0k,NRG (T),100T (CT),20.3k
9,1.1k,100T (CT),NRG (T),23.5k
10,5.2k,100T (CT),NRG (T),10.5k
11,6.5k,NRG (T),100T (CT),4.3k
12,0.9k,100T (CT),NRG (T),6.4k
13 (Swap),0.5k,100T (T),NRG (CT),0.2k
14,3.4k,100T (T),NRG (CT),8.5k
15,11.8k,100T (T),NRG (CT),1.4k
16,25.4k,NRG (CT),100T (T),5.1k
17,14.5k,100T (T),NRG (CT),6.3k
18,18.4k,100T (T),NRG (CT),9.3k
19,31.5k,NRG (CT),100T (T),1.8k
20,24.7k,NRG (CT),100T (T),14.2k
21,12.9k,100T (T),NRG (CT),18.4k
22,10.6k,NRG (CT),100T (T),6.2k
23,8.7k,NRG (CT),100T (T),4.0k
24,0.8k,100T (CT),NRG (T),9.5k
25 (OverTime),1.2k,100T (CT),NRG (T),1.2k
26,1.2k,100T (T),NRG (CT),0.9k
