,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,3 4 -1,5 3 +2,1 2 -1,3 3 +0,3 3 +0
Boostio 100T,1 3 -2,3 3 +0,2 3 -1,3 5 -2,3 4 -1
zander 100T,4 1 +3,1 4 -3,2 1 +1,3 4 -1,1 10 -9
Asuna 100T,3 2 +1,3 1 +2,1 3 -2,2 2 +0,3 6 -3
eeiu 100T,3 1 +2,3 2 +1,4 4 +0,1 5 -4,5 3 +2
