,spike 2G,silentzz 2G,lz 2G,pryze 2G,gobera 2G
icy EG,,,1 0 +1,,
NaturE EG,1 0 +1,,0 1 -1,,0 1 -1
yay EG,2 3 -1,2 1 +1,1 3 -2,1 0 +1,
Derrek EG,,,,,
supamen EG,,,1 0 +1,,0 2 -2
