,spike 2G,silentzz 2G,lz 2G,pryze 2G,gobera 2G
icy EG,1 1 +0,1 0 +1,1 1 +0,,1 0 +1
NaturE EG,0 2 -2,,0 1 -1,,
yay EG,0 1 -1,,0 1 -1,1 0 +1,0 1 -1
Derrek EG,1 1 +0,,2 1 +1,,
supamen EG,0 1 -1,1 1 +0,2 1 +1,,
