,spike 2G,silentzz 2G,lz 2G,pryze 2G,gobera 2G
icy EG,,0 2 -2,,,
NaturE EG,,,,,
yay EG,2 0 +2,1 4 -3,2 0 +2,,1 0 +1
Derrek EG,,0 2 -2,,,
supamen EG,,0 4 -4,,,
