,spike 2G,silentzz 2G,lz 2G,pryze 2G,gobera 2G
icy EG,1 1 +0,1 1 +0,2 1 +1,,1 0 +1
NaturE EG,2 3 -1,,0 2 -2,1 0 +1,0 1 -1
yay EG,3 4 -1,2 5 -3,1 6 -5,4 1 +3,1 1 +0
Derrek EG,1 1 +0,,2 2 +0,0 1 -1,1 0 +1
supamen EG,0 1 -1,2 3 -1,3 1 +2,,1 2 -1
