,spike 2G,silentzz 2G,lz 2G,pryze 2G,gobera 2G
icy EG,,0 1 -1,,,
NaturE EG,1 1 +0,,,1 0 +1,
yay EG,1 0 +1,0 4 -4,0 2 -2,2 1 +1,1 0 +1
Derrek EG,,,0 1 -1,0 1 -1,1 0 +1
supamen EG,,1 2 -1,,,1 0 +1
