,spike 2G,silentzz 2G,lz 2G,pryze 2G,gobera 2G
icy EG,8 12 -4,8 9 -1,8 8 +0,8 9 -1,10 2 +8
NaturE EG,10 16 -6,8 5 +3,8 11 -3,8 6 +2,4 10 -6
yay EG,9 11 -2,7 14 -7,6 11 -5,12 8 +4,11 7 +4
Derrek EG,16 9 +7,12 11 +1,10 8 +2,12 11 +1,11 3 +8
supamen EG,1 12 -11,6 13 -7,10 7 +3,6 6 +0,11 3 +8
