,valyn G2,trent G2,JonahP G2,leaf G2,jawgemo G2
stax T1,,,,,
DH T1,,,,,
iZu T1,3 0 +3,1 0 +1,2 0 +2,5 0 +5,1 0 +1
BuZz T1,,,,,
Meteor T1,,,,0 1 -1,
