,valyn G2,trent G2,JonahP G2,leaf G2,jawgemo G2
stax T1,,,,,
DH T1,,,,,0 4 -4
iZu T1,,0 1 -1,1 1 +0,0 1 -1,0 1 -1
BuZz T1,1 2 -1,,,0 1 -1,0 1 -1
Meteor T1,1 2 -1,1 0 +1,,,2 1 +1
