,valyn G2,trent G2,JonahP G2,leaf G2,jawgemo G2
stax T1,4 11 -7,4 4 +0,3 5 -2,3 4 -1,10 8 +2
DH T1,3 5 -2,4 6 -2,3 3 +0,3 8 -5,6 9 -3
iZu T1,6 7 -1,7 6 +1,8 3 +5,10 5 +5,4 8 -4
BuZz T1,9 6 +3,4 6 -2,5 6 -1,2 9 -7,3 8 -5
Meteor T1,5 6 -1,5 8 -3,6 4 +2,6 9 -3,6 9 -3
