,valyn G2,trent G2,JonahP G2,leaf G2,jawgemo G2
stax T1,2 7 -5,1 3 -2,1 2 -1,2 0 +2,6 4 +2
DH T1,2 5 -3,1 2 -1,1 3 -2,1 3 -2,3 3 +0
iZu T1,5 4 +1,3 1 +2,4 0 +4,5 3 +2,4 4 +0
BuZz T1,5 3 +2,4 3 +1,3 1 +2,1 6 -5,2 5 -3
Meteor T1,1 2 -1,4 3 +1,6 2 +4,3 4 -1,2 7 -5
