,valyn G2,trent G2,JonahP G2,leaf G2,jawgemo G2
stax T1,2 4 -2,3 1 +2,2 3 -1,1 4 -3,4 4 +0
DH T1,1 0 +1,3 4 -1,2 0 +2,2 5 -3,3 6 -3
iZu T1,1 3 -2,4 5 -1,4 3 +1,5 2 +3,0 4 -4
BuZz T1,4 3 +1,0 3 -3,2 5 -3,1 3 -2,1 3 -2
Meteor T1,4 4 +0,1 5 -4,0 2 -2,3 5 -2,4 2 +2
