,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,1 0 +1,1 0 +1,1 1 +0
Jamppi BBL,,0 1 -1,1 0 +1,0 1 -1,1 1 +0
vakk BBL,0 1 -1,,1 0 +1,,
LewN BBL,,1 0 +1,4 1 +3,,1 0 +1
sociablEE BBL,,0 3 -3,1 0 +1,,
