,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,4 2 +2,1 0 +1,6 5 +1,3 6 -3,6 4 +2
Jamppi BBL,5 2 +3,4 5 -1,1 2 -1,2 5 -3,3 3 +0
vakk BBL,3 2 +1,1 4 -3,3 3 +0,1 8 -7,2 5 -3
LewN BBL,2 6 -4,9 5 +4,4 6 -2,6 2 +4,4 1 +3
sociablEE BBL,3 3 +0,2 4 -2,5 3 +2,4 2 +2,2 4 -2
