,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,0 2 -2,,
Jamppi BBL,,,0 1 -1,,
vakk BBL,,,0 2 -2,,
LewN BBL,,,0 1 -1,,
sociablEE BBL,2 0 +2,,2 2 +0,1 0 +1,4 0 +4
