,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,0 1 -1,,
Jamppi BBL,,1 0 +1,,,
vakk BBL,,,,,
LewN BBL,,2 0 +2,0 1 -1,,
sociablEE BBL,,,1 0 +1,,
