,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
vakk BBL,,2 Round 8 westside runneR Round 15 Cloud purp0,,,,,,,,,42,0,0
PROFEK BBL,,2 Round 4 purp0 tomaszy Round 11 runneR tomaszy,2 Round 9 tomaszy runneR Cloud Round 22 tomaszy purp0 runneR,,,,,,,,69,0,0
sociablEE BBL,,5 Round 11 Cloud purp0 Round 14 runneR Cloud Round 16 runneR Cloud Round 19 purp0 tomaszy Round 20 runneR purp0,,,,,1 Round 19 purp0 tomaszy,,,,75,0,1
Jamppi BBL,,4 Round 10 purp0 Cloud Round 12 tomaszy purp0 Round 13 runneR Cloud Round 18 runneR westside,,,,1 Round 13 Cloud,,,,,52,5,1
LewN BBL,,5 Round 7 runneR Cloud Round 10 runneR westside Round 13 purp0 tomaszy Round 18 purp0 tomaszy Round 20 westside tomaszy,2 Round 5 purp0 Cloud runneR Round 21 tomaszy Cloud purp0,,,,,,,,68,1,1
purp0 GX,,4 Round 2 PROFEK LewN Round 6 vakk sociablEE Round 12 LewN Jamppi Round 21 vakk PROFEK,,,,,,,,,34,0,0
Cloud GX,,3 Round 3 Jamppi LewN Round 6 Jamppi PROFEK Round 13 LewN vakk,2 Round 4 sociablEE PROFEK vakk Round 15 sociablEE Jamppi LewN,,,,,,,,61,6,0
tomaszy GX,,2 Round 8 vakk Jamppi Round 17 LewN Jamppi,,,,,,,,,39,2,0
runneR GX,,2 Round 17 PROFEK vakk Round 19 LewN PROFEK,,,,,,,,,31,1,0
westside GX,,1 Round 1 Jamppi vakk,1 Round 16 sociablEE PROFEK Jamppi,,,,1 Round 16 Jamppi PROFEK,,,,56,0,1
