,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,3 0 +3,2 4 -2,7 3 +4,3 1 +2,4 4 +0
Jamppi BBL,5 0 +5,2 3 -1,0 2 -2,3 0 +3,3 3 +0
vakk BBL,0 2 -2,1 3 -2,2 3 -1,2 1 +1,1 1 +0
LewN BBL,2 1 +1,3 4 -1,1 1 +0,5 3 +2,2 1 +1
sociablEE BBL,4 3 +1,4 3 +1,5 3 +2,5 3 +2,7 0 +7
