,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
vakk BBL,,2 Round 17 westside Cloud Round 18 runneR westside,,,,,,,,,28,0,0
PROFEK BBL,,,,2 Round 16 runneR purp0 tomaszy westside Round 20 runneR tomaszy westside Cloud,,1 Round 20 Cloud,,,,,44,1,1
sociablEE BBL,,4 Round 2 westside tomaszy Round 4 tomaszy runneR Round 12 tomaszy westside Round 24 purp0 Cloud,,,,,,,,,36,3,1
Jamppi BBL,,3 Round 12 Cloud runneR Round 14 runneR Cloud Round 17 runneR tomaszy,,,,,,,,,41,6,1
LewN BBL,,3 Round 15 tomaszy Cloud Round 19 Cloud tomaszy Round 21 westside Cloud,4 Round 1 Cloud purp0 tomaszy Round 3 tomaszy westside runneR Round 6 westside purp0 tomaszy Round 13 purp0 Cloud runneR,,,,,,,,59,0,0
purp0 GX,,2 Round 7 sociablEE PROFEK Round 22 LewN PROFEK,2 Round 11 PROFEK LewN vakk Round 25 sociablEE Jamppi PROFEK,,,,,,,,51,1,1
Cloud GX,,2 Round 8 LewN vakk Round 26 LewN sociablEE,1 Round 20 LewN sociablEE Jamppi,,,,,,,,61,3,1
tomaszy GX,,4 Round 4 vakk PROFEK Round 7 Jamppi LewN Round 12 Jamppi vakk Round 18 Jamppi vakk,1 Round 10 LewN vakk PROFEK,,,1 Round 21 Jamppi,,,,,64,1,0
runneR GX,,6 Round 2 LewN sociablEE Round 4 LewN Jamppi Round 5 LewN Jamppi Round 9 LewN vakk Round 21 PROFEK LewN Round 24 LewN sociablEE,,,,,1 Round 4 sociablEE Jamppi,,,,41,4,3
westside GX,,3 Round 5 vakk sociablEE Round 16 vakk sociablEE Round 26 Jamppi PROFEK,2 Round 9 Jamppi sociablEE PROFEK Round 15 LewN vakk PROFEK,,,,,,,,59,0,0
