,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,3 2 +1,2 2 +0,3 4 -1,8 1 +7,3 5 -2
Jamppi BBL,2 2 +0,3 3 +0,4 2 +2,1 3 -2,4 4 +0
vakk BBL,2 3 -1,2 3 -1,3 2 +1,1 3 -2,4 4 +0
LewN BBL,3 2 +1,5 5 +0,6 3 +3,5 2 +3,3 1 +2
sociablEE BBL,4 2 +2,6 4 +2,4 1 +3,2 2 +0,1 3 -2
