,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,10 4 +6,5 6 -1,16 12 +4,14 8 +6,13 13 +0
Jamppi BBL,12 4 +8,9 11 -2,5 6 -1,6 8 -2,10 10 +0
vakk BBL,5 7 -2,4 10 -6,8 8 +0,4 12 -8,7 10 -3
LewN BBL,7 9 -2,17 14 +3,11 10 +1,16 7 +9,9 3 +6
sociablEE BBL,11 8 +3,12 11 +1,14 7 +7,11 7 +4,10 7 +3
