,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,0 3 -3,,
Jamppi BBL,,1 0 +1,0 1 -1,,
vakk BBL,,,0 2 -2,,
LewN BBL,1 0 +1,2 0 +2,0 2 -2,,
sociablEE BBL,2 0 +2,,3 2 +1,1 0 +1,4 0 +4
