,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,1 1 +0,,1 0 +1
Jamppi BBL,,1 1 +0,0 1 -1,0 1 -1,
vakk BBL,,,1 1 +0,0 1 -1,
LewN BBL,,5 2 +3,1 3 -2,3 0 +3,
sociablEE BBL,,,1 0 +1,,0 1 -1
