,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,4 1 +3,1 0 +1,3 1 +2
Jamppi BBL,,1 2 -1,1 1 +0,0 2 -2,1 2 -1
vakk BBL,0 1 -1,0 1 -1,2 3 -1,0 1 -1,
LewN BBL,,6 3 +3,5 5 +0,4 1 +3,1 0 +1
sociablEE BBL,1 1 +0,2 3 -1,3 0 +3,1 0 +1,1 1 +0
