,runneR GX,Cloud GX,purp0 GX,tomaszy GX,westside GX
PROFEK BBL,,,2 0 +2,,1 0 +1
Jamppi BBL,,,,,0 1 -1
vakk BBL,,0 1 -1,0 2 -2,,
LewN BBL,,0 1 -1,0 1 -1,1 1 +0,
sociablEE BBL,1 1 +0,2 0 +2,1 0 +1,1 0 +1,1 0 +1
