,Jremy TS,JessieVash TS,invy TS,2GE TS,Wild0reoo TS
Monyet RRQ,5 2 +3,3 3 +0,4 4 +0,7 3 +4,3 3 +0
Jemkin RRQ,4 2 +2,6 4 +2,3 3 +0,2 5 -3,3 2 +1
Estrella RRQ,2 4 -2,2 4 -2,4 6 -2,1 2 -1,1 0 +1
Kushy RRQ,3 3 +0,1 4 -3,2 6 -4,2 5 -3,5 1 +4
xffero RRQ,3 1 +2,2 7 -5,2 3 -1,1 3 -2,1 2 -1
