,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Kushy RRQ,,1 Round 20 Wild0reoo invy,1 Round 7 Jremy 2GE Wild0reoo,,,,,,,,37,2,0
xffero RRQ,,2 Round 6 2GE Jremy Round 11 Jremy invy,,,,,,,,,38,1,0
Monyet RRQ,,4 Round 3 2GE JessieVash Round 4 Wild0reoo invy Round 9 Jremy 2GE Round 21 Jremy 2GE,3 Round 8 2GE Wild0reoo invy Round 18 Jremy invy JessieVash Round 20 Jremy 2GE JessieVash Monyet,,,1 Round 20 JessieVash,,,,,70,2,1
Jemkin RRQ,,3 Round 4 Jremy JessieVash Round 5 JessieVash Jremy Round 13 JessieVash 2GE,2 Round 3 Jremy invy Wild0reoo Round 14 JessieVash Jremy invy,,,,,,,,51,1,1
Estrella RRQ,,2 Round 13 Jremy invy Round 17 Jremy 2GE,1 Round 9 JessieVash invy Wild0reoo,,,,,,,,35,2,0
JessieVash TS,,2 Round 6 xffero Monyet Round 22 Estrella xffero,3 Round 2 Jemkin Kushy xffero Round 11 Jemkin Estrella xffero Round 15 Estrella Monyet Jemkin,1 Round 21 xffero Jemkin Monyet Kushy,,,,,,,74,7,1
Jremy TS,,3 Round 1 Estrella Jemkin Round 5 xffero Estrella Round 10 Monyet Jemkin,,,,,,,,,30,0,0
invy TS,,7 Round 2 Monyet Estrella Round 6 Kushy Jemkin Round 8 Estrella Kushy Round 11 Monyet Kushy Round 13 xffero Monyet Round 20 Jemkin Estrella Round 22 Jemkin Monyet,,,,,,,,,72,1,1
2GE TS,,3 Round 3 Kushy Jemkin Round 5 Jemkin Monyet Round 10 xffero Kushy,1 Round 16 Jemkin Estrella xffero,1 Round 4 Estrella Jemkin xffero Monyet,,1 Round 4 Monyet,,,,,55,2,1
Wild0reoo TS,,1 Round 7 Monyet Jemkin,2 Round 12 Jemkin Monyet xffero Round 17 Monyet xffero Kushy,,,,,,,,38,0,0
