,Jremy TS,JessieVash TS,invy TS,2GE TS,Wild0reoo TS
Monyet RRQ,2 0 +2,,,1 0 +1,0 3 -3
Jemkin RRQ,,,,1 1 +0,1 1 +0
Estrella RRQ,,0 1 -1,,1 0 +1,
Kushy RRQ,,,1 0 +1,,
xffero RRQ,0 2 -2,,,1 0 +1,1 0 +1
