,Jremy TS,JessieVash TS,invy TS,2GE TS,Wild0reoo TS
Monyet RRQ,3 0 +3,,,1 0 +1,0 6 -6
Jemkin RRQ,2 0 +2,1 4 -3,1 1 +0,4 2 +2,3 1 +2
Estrella RRQ,0 1 -1,0 1 -1,0 1 -1,1 1 +0,
Kushy RRQ,3 1 +2,,2 1 +1,0 1 -1,1 0 +1
xffero RRQ,3 3 +0,0 1 -1,0 1 -1,3 1 +2,1 0 +1
