,Jremy TS,JessieVash TS,invy TS,2GE TS,Wild0reoo TS
Monyet RRQ,1 0 +1,,,,0 2 -2
Jemkin RRQ,,1 1 +0,1 1 +0,0 1 -1,1 0 +1
Estrella RRQ,0 1 -1,,0 1 -1,,
Kushy RRQ,1 0 +1,,0 1 -1,0 1 -1,1 0 +1
xffero RRQ,2 1 +1,0 1 -1,0 1 -1,1 1 +0,
