,Jremy TS,JessieVash TS,invy TS,2GE TS,Wild0reoo TS
Monyet RRQ,,,,,0 1 -1
Jemkin RRQ,2 0 +2,0 3 -3,,3 0 +3,1 0 +1
Estrella RRQ,,,,0 1 -1,
Kushy RRQ,2 1 +1,,1 0 +1,,
xffero RRQ,1 0 +1,,,1 0 +1,
