,RieNs TH,benjyfishy TH,MiniBoo TH,Wo0t TH,Boo TH
MrFaliN FUT,3 10 -7,6 5 +1,3 3 +0,3 9 -6,2 5 -3
xeus FUT,9 3 +6,6 10 -4,8 7 +1,10 5 +5,5 4 +1
qRaxs FUT,2 9 -7,6 8 -2,2 5 -3,2 3 -1,4 8 -4
yetujey FUT,5 3 +2,1 6 -5,8 3 +5,8 9 -1,5 4 +1
cNed FUT,6 8 -2,3 6 -3,4 4 +0,4 7 -3,9 4 +5
