,RieNs TH,benjyfishy TH,MiniBoo TH,Wo0t TH,Boo TH
MrFaliN FUT,1 7 -6,4 3 +1,3 1 +2,2 4 -2,2 2 +0
xeus FUT,5 1 +4,2 2 +0,2 5 -3,3 4 -1,2 2 +0
qRaxs FUT,2 5 -3,2 5 -3,1 2 -1,2 1 +1,3 3 +0
yetujey FUT,2 1 +1,1 2 -1,4 2 +2,4 4 +0,2 2 +0
cNed FUT,2 4 -2,3 3 +0,4 1 +3,2 4 -2,5 2 +3
